product name,asin,brand name,mrp,sale price,discount percentage,product description,date first available,number of reviews,seller name
N95 TYPE Anti-Pollution MaskPack of 1,B07C5TF6YT,Shakuntla,899,155,83%,Shakuntla we believe you shouldn't have to choose between your lifestyle and pollution protection. We believe that your every breath you breathe should be pure. We've developed an extensive anti-pollution system using cutting-edge science from around the world. The result? Outstanding Pollution Protection fit your Lifestyle. Shakutla Shield N95 Protect+ Anti-Pollution Smart Mask provides 98% 3-layer filtration of PM2.5 pollution particles. It has European certification CE0194 EN149 FFP1/FFP2. Innovated in Singapore the Dettol SiTi Shield Smart Mask is engineered in 3 sizes (S size M size L size) to create the superb fit for a broad age range even for young ones. This anti-pollution mask provides 99% filtration of bacteria as tested by Nelson Laboratories. Smart valve fitted on the inside of the mask provides the seamless outflow of exhaled air providing better comfort. It is made of ultra-soft fabric that's gentle on skin and provides comfortable fit. It has adjustable straps with soft nose pad. Tested in the US the mask is made basis Face-fit 3D scanning technique for the Asian face. From the makers of Dettol the smart anti-pollution mask is fit for the entire family. It is designed and tested to fit Children (7+).,12-04-18 0:00,22,Sivaana Colours
Riderscart Anti Pollution Mask Washable Dust Mask Air Filter Mask for Pollution Smoke Allergy Mask with Filter Protect from Virus PM2.5 Unisex SizeBlack with Warranty,B07G8BHQF6,Riderscart,699,269,62%,The anti-pollution mask is very innovative....which has high filtration efficiency can easily filter dust gases pollen and other organic vapors thus protects from various respiratory problems or breathing allergies.......It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies......It is compact suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,06-08-18 0:00,22,Riderscart
3M Anti Pollution Dust Mask Grey Pack of 4,B017D0LGYS,3M,,,,Lightweight foldable and designed to protect you from pollutants and dust the lightweight 3M respirator uses a variety of innovative features to help you meet your respiratory protection and comfort needs. By incorporating 3M's proprietary technology - the electrostatically charged microfiber filter media. These highly charged microfibres greatly enhance the capture of airborne particles.It's adjustable nose clip help provide a custom fit with secure seal and reduces potential for eyewear fogging. The 2 strap design provides a secure fit. The masks are foldable and easy to carry as well. Washing instructions - Disposable Respirators (not to be washed) Place the respirator over nose and mouth and ensure that the nose clip is fixed on top. Pull the top strap over your head until it rests on the crown of your head above your ears. Pull the bottom strap over your head until is rests just below your ears. Using both hands starting at the top mold the metal nose clip around your nose to achieve a secure seal. Note: Pinching the nose piece using one hand may result in improper fit and less effective respirator performance. Use two hands.,30-10-15 0:00,494,
iSweven Anti Pollution Mask for Non Woven Dustproof Filter Windproof Face Mask PM2.5 Blue-Star-Pack of 10,B084JGXGGK,iSWEVEN,899,699,22%,iSweven Pollution Mask 2.5.Brought to you by iSweven the worldâ€™s leading brand for personal protective equipment with over 100 years of experience in respiratory protection. The PM 2.5 masks from iSweven are specially designed to protect the user from probable respiratory ailments and allergies originating from the polluted air in the cities and common allergens like pollen in the environment. These masks have a 3 layer filter media which ensures the best protection. The masks come with a valve for moisture release which reduces stuffiness and heat build up to ensure wearer comfort for longer hours. These ergonomically designed masks with special comfort features like skin-friendly lining soft cotton ear bands premium nose pad for better seal and comfort and soft adjustable nose clips make them one of the best masks to wear for extended hours even in hot and humid conditions.,06-02-20 0:00,1,iSWEVEN
Recombigen 2 Ply Lace/Tie Disposable Face Mask - Pack of 100 Pieces,B07SQVQ54M,Recombigen,,,,,04-06-19 0:00,4,
Ionix Pack of 10 Disposable Earloop Medical Face Masks Three Layer 3 Ply Non-Woven Face Mask Dust Mask Pollution Mask Surgical Face Mask for Air Pollution Virus Protection Pack of 10,B085LC3VJL,Ionix,750,425,43%,3 Ply face mask Made of premium cotton and non-woven fabric provides the feature of soft texture quick drying you can sit on the face comfortably seal correctly around mouth and face breath freely to protect yourself against potentially life-threatening danger.,05-03-20 0:00,0,Perfect Sales India
Antil's Disposable 3ply Surgical Elastic Face Mask Pack of 2,B085LP6XTC,Antil's,,,,This Face mask is very innovative which has high filtration efficiency can easily filter dust gases pollution and other organic vapors thus protects from various respiratory problems or breathing allergies. It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,07-03-20 0:00,0,
Bigg Moustache Disposable Face Mask 3 Ply Tie Style Disposable Masks Medical Masks Dust Mask Pollution Mask 25 pcs,B085GL4WXZ,Bigg Moustache,,,,Disposable Mouth Masks Professional 3-Layer Thicker Anti Dust Breathable Disposable Earloop Face Mask Surgical Mask Our disposable masks are made of three layers of purifying dust and skin-friendly filter cloth which gives multiple protection against dust and contaminants. Feature: Colour: blue Size:17.5x9.5cm/6.9*3.7 inches FREE SIZE,03-03-20 0:00,0,
Antil's Disposable 3ply Surgical Elastic Face Mask Pack of 5,B085LQ76NC,Antil's,449,249,45%,This Face mask is very innovative which has high filtration efficiency can easily filter dust gases pollution and other organic vapors thus protects from various respiratory problems or breathing allergies. It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,07-03-20 0:00,0,Antil's Hub
Antil's Disposable 3ply Surgical Elastic Face Mask Pack of 10,B085LPT6MW,Antil's,999,449,55%,This Face mask is very innovative which has high filtration efficiency can easily filter dust gases pollution and other organic vapors thus protects from various respiratory problems or breathing allergies. It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,07-03-20 0:00,0,Antil's Hub
ultrasav Standard comfort Disposable Pollution/Surgical Elastic Mask Surgical Face Mask with Earloop Great for Air Pollution Virus 5,B085DN63FH,ultrasav,,,,IND mask covers the userâ€™s nose and mouth and provides a physical barrier to fluids and particulate materials. The surgical masks referenced in this guidance document include masks that are labeled as a surgical laser isolation dental or medical procedure masks with or without a face shield.,02-03-20 0:00,0,
Antil's Disposable 3ply Surgical Elastic Face Mask Pack of 15,B085LNZMGB,Antil's,,,,This Face mask is very innovative which has high filtration efficiency can easily filter dust gases pollution and other organic vapors thus protects from various respiratory problems or breathing allergies. It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,07-03-20 0:00,0,
Supreme Bazaar Disposable 3 Ply Surgical Face Mask with Earloop Great for Air Pollution Virus Protection and Personal Health Blue Face Mask Pack Of 3,B085M76NL6,Supreme Bazaar,,,,Supreme Bazaar Presents Face masks help limit the spread of germs. When someone talks coughs or sneezes they may release tiny drops into the air that can infect others. If someone is ill face masks can reduce the number of germs that the wearer releases and can protect other people from becoming sick. A face mask also protects the wearer's nose and mouth from splashes or sprays of body fluids. It is ideal for every house in day to day activities as well as doctors surgeons dentist dental assistance nurses landscapers contractors plumbers exterminators nail technicians and many more.,07-03-20 0:00,0,
Antil's Disposable 3ply Surgical Elastic Face Mask Pack of 50,B085LQ1NBB,Antil's,1999,1149,43%,This Face mask is very innovative which has high filtration efficiency can easily filter dust gases pollution and other organic vapors thus protects from various respiratory problems or breathing allergies. It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,07-03-20 0:00,0,Antil's Hub
Antil's Disposable 3ply Surgical Elastic Face Mask Pack of 100,B085LPV6XK,Antil's,3999,2299,43%,This Face mask is very innovative which has high filtration efficiency can easily filter dust gases pollution and other organic vapors thus protects from various respiratory problems or breathing allergies. It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,07-03-20 0:00,0,Antil's Hub
Warrior Armory Nose Mask Disposable Mouth Masks - Dust Mask - Pollution Mask - Surgical Face Mask for Air Pollution Virus Protection & Personal Health Face Mask 100 pieces,B085HXY874,Warrior Armory,10999,2400,78%,Facemasks help limit the spread of germs. When someone talks coughs or sneezes they may release tiny drops into the air that can infect others. If someone is ill face masks can reduce the number of germs that the wearer releases and can protect other people from becoming sick. A face mask also protects the wearer's nose and mouth from splashes or sprays of body fluids. It is ideal for every house in day to day activities as well as doctors surgeons dentist dental assistance nurses landscapers contractors plumbers exterminators nail technicians and many more.,04-03-20 0:00,0,Warrior Armory
Bigg Moustache Disposable Face Mask 3 Ply Tie Style Disposable Masks Medical Masks Dust Mask Pollution Mask 10 pcs,B085HR629G,Bigg Moustache,,,,Disposable Mouth Masks Professional 3-Layer Thicker Anti Dust Breathable Disposable Earloop Face Mask Surgical Mask Our disposable masks are made of three layers of purifying dust and skin-friendly filter cloth which gives multiple protection against dust and contaminants. Feature: Colour: blue Size:17.5x9.5cm/6.9*3.7 inches FREE SIZE,05-03-20 0:00,0,
DR AIR PM 2.5 ANTI POLLUTION MASK - PACK OF 6 - FOR ADULT,B074Y46GZ2,DR AIR,,,,DR AIR N95 Anti-Pollution Face Mask For ADULT. It blocks PM2.5 dust Haze bacteria Influenza virus etc filtration upto 95 % . Variety of Innovative technologies and features are used to help you meet your respiratory protection and comfort needs. The soft inner material provides added comfort while the adjustable nose clip provides a custom fit.,18-08-17 0:00,3,
TrendzOn 3Ply Disposable Face Masks Elastic Ear loop Type Mask and RespiratorPollutionAnti virus pack of 30,B085K28125,TrendzOn,,,,â™¥Face masks help limit the spread of germs. When someone talks coughs or sneezes they may release tiny drops into the air that can infect others. â™¥If someone is ill face masks can reduce the number of germs that the wearer releases and can protect other people from becoming sick. A face mask also protects the wearer's nose and mouth from splashes or sprays of body fluids. â™¥It is ideal for every house in day to day activities as well as doctors surgeons dentist dental assistance nurses landscapers contractors plumbers exterminators nail technicians and many more. â™¥Easy breathable effective multiplayer bacterial filter soft lightweight comfortable and easy to wear used in medical dental laboratory food sectors school household industry and multi-purpose bacteria filtration efficiency 99% particle filtration efficiency (0.1 micron) 99% virus filtration efficiency (0.1 micron) 99% fluid repellent 120 mmhg breathable < 49 0 pa fluid resistant hygienic & skin friendly,04-03-20 0:00,0,
Rudham Disposable Gloves 300 Pieces Transparent,B00LSSNIEI,Rudham,199,160,20%,300 pieces disposable plastic gloves. For home or restaurant or cleaning or washing. Great for cleaning cooking and performing daily activities hygienic.,14-07-14 0:00,1484,Cloudtail India
Antil's Disposable 3ply Surgical Elastic Face Mask Pack of 45,B085LPPMSX,Antil's,1700,1100,35%,This Face mask is very innovative which has high filtration efficiency can easily filter dust gases pollution and other organic vapors thus protects from various respiratory problems or breathing allergies. It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,07-03-20 0:00,0,Antil's Hub
3M 3M-6200 Half Facepiece Reusable Respirator Without CartridgesMedium,B013WCNHSO,3M,2100,1529,27%,3M 6200 half face respirator medium. 3M half face piece reusable respirators offer the user comfort and convenience. Reusable just dispose of the cartridge and filters when used to capacity. The swept back design of the cartridges improves balance and visibility. Can be disassembled cleaned and reused. Very light-weight. Easy to adjust head straps. NIOSH approved for use against particulates and a variety of gases and vapors at concentrations up to 10 times the exposure limit when used with approved and properly selected cartridges and/or filters.,14-08-15 0:00,280,clickforsignÂ®
Disposable 2 Ply Face Mask with Elastic Blue - Pack Of 100 - Sold By Smark,B07MKD5PYX,Generic,,,,These are 2 Ply Face Mask with Elastic. These are Blue in colour.,24-12-18 0:00,5,
Antil's Disposable 3ply Surgical Elastic Face Mask Pack of 35,B085LNZCGQ,Antil's,1500,949,37%,This Face mask is very innovative which has high filtration efficiency can easily filter dust gases pollution and other organic vapors thus protects from various respiratory problems or breathing allergies. It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,07-03-20 0:00,0,Antil's Hub
Silver Stone Anti-Pollution Dust Nose Mask 3 Ply Disposable Mouth Masks Nose Mask Dust Mask Pollution Mask Pack of 10,B085L8MPJN,Silver Stone,699,265,62%,â˜› â˜› â˜› Our environment is full of dust haze vehicle exhaust air pollution and the dust mask can keep you from 98% dust Dirt Pollen Allergens Fumes or particulates that effect you breathe in the air. ðŸŽ­ ðŸŽŠ â˜› Breathing easily â˜› Skin cared and comfortable in wearing â˜› Adjustable fitness between mask and nose with nose clip and earloop â˜› Health and environmental protection materials â˜› Moisture-proof â˜› Dust mask with valve â˜› Anti-dust n95 PM2.5 bacteria fog and other harmful grain ðŸŒˆ ðŸŒ„ Chemosurgical spray-paints or paintings dyeing garages mining factories of electronic aid and foods disinfecting insalubrious workshops,05-03-20 0:00,0,GLOBALEXPORTER
V44+ Standard comfort Disposable Pollution/Surgical Elastic Mask Surgical Face Mask with Earloop Great for Air Pollution Virus. 5 10,B085GN66RB,ultrasav,60000,2000,97%,IND mask covers the userâ€™s nose and mouth and provides a physical barrier to fluids and particulate materials. The surgical masks referenced in this guidance document include masks that are labeled as a surgical laser isolation dental or medical procedure masks with or without a face shield.,02-03-20 0:00,0,ultrasav
Standard comfort Disposable Pollution/Surgical Elastic Mask Surgical Face Mask with Earloop Great for Air Pollution Virus 1,B085MD7GYH,ANY DESIGNER,19999,499,98%,,06-03-20 0:00,0,Any DesignerÂ®
Twisha Disposable Surgical Elastic 3 Ply Face Mask with Earloop for Personal Health Virus Protection and Air Pollution Mask Mask and Respirator 50 Pcs,B085LBDMLG,Twisha,1299,1299,,Twisha surgical mask covers the userâ€™s nose and mouth and provides a physical barrier to fluids and particulate materials. The surgical masks referenced in this guidance document include masks that are labeled as a surgical laser isolation dental or medical procedure masks with or without a face shield.,06-03-20 0:00,0,TwishaÂ®
FAB NATION 3 Ply non woven surgical face mask50 PCS with ear loopgreat for air pollutionvirus protection and personal health blue face mask,B085HWRHNC,FAB NATION,2500,1266,49%,Facemasks help limit the spread of germs. When someone talks coughs or sneezes they may release tiny drops into the air that can infect others. If someone is ill face masks can reduce the number of germs that the wearer releases and can protect other people from becoming sick. A face mask also protects the wearer's nose and mouth from splashes or sprays of body fluids. It is ideal for every house in day to day activities as well as doctors surgeons dentist dental assistance nurses landscapers contractors plumbers exterminators nail technicians and many more.,04-03-20 0:00,0,Shoppers Home
Standard comfort Disposable Pollution/Surgical Elastic Mask Surgical Face Mask with Earloop Great for Air Pollution Virus. 5,B085DDJS32,OM FAB,9999,1699,83%,IND mask covers the userâ€™s nose and mouth and provides a physical barrier to fluids and particulate materials. The surgical masks referenced in this guidance document include masks that are labeled as a surgical laser isolation dental or medical procedure masks with or without a face shield.,11-02-20 0:00,0,Om Fab
Kodenipr Club Disposable Stretchable Green Bouffant Hair caps/Surgical Caps/Cooking Caps/Salon Caps 100,B079QMPH7C,KODENIPR CLUB,699,175,75%,Features of Disposable Bouffant Cap: Adjustable soft thread elastic for comfort fittings sonic sealing attractive look avoids escape of hair dandruff and micro organisms during process Technical Specification of Disposable Bouffant Cap: Imported Disposable Cap is made from spun bond polymer non-woven fabric spunlace fabrics as the main raw material. This material is preferred for its light weight.,09-02-18 0:00,18,Aurum Creations
SP Non woven Beard Mask White Color Pack Of 100 Pcs,B075WT2TT6,Safety Products,499,420,16%,Keystone Beard covers it is a non woven Beard Mask . It comes in a 100 pieces.,24-09-17 0:00,3,Safety Products
Kodenipr ClubÂ® Disposable Stretchable White Caps - Cover Hair for Cooking & Hygiene 100 pieces,B01N434WX5,KODENIPR CLUB,299,149,50%,Aurum Creations Disposable Cap is made from spun bond polymer non-woven fabric spun-lace fabrics as the main raw material. This material is preferred for its light weight. Its gravity is lighter than Hydrophobic PP fibres so it has excellent water repellency and air permeability resulting in providing comfort & dryness resulting in anti bacterial and anti fungal resistance.,09-08-17 0:00,20,Aurum Creations
Mask Non-Woven Fabric Disposable Face Mask for Multi Use -100 Pieces,B084KW6G3R,MASK,,,,,07-02-20 0:00,0,
MaxPlay Particulate Disposable Respirator Mask Anti Pollution Dust Masks School teenage Children Offices Adults Household3 Packs-White,B085LLFQVP,MaxPlay,1999,900,55%,â—•How many masks are included in the package? 3 Packs individual clear package wrap. â—•How often can one mask be used? We recommend that the respirator masks be replaced when they are dirty damaged and/or difficult to breathe through. â—•Is the item washable and re-usable? No it is not washable. This is disposable product. Effective against particulate aresol free of oil â—•What size are these? This is one size fits most. â¤ Details: Material: Non woven fabric Size: One size fits most Color: White â¤ What You Get: 3 x Disposable respirator Masks.,05-03-20 0:00,0,DFO Direct Factory
Shanmukha Enterprises Disposable Fabric Face/Nose Mask Medium Blue - Pack of 100 Pieces,B07BFVL8DG,Shanmukha Enterprises,,,,Material: Non woven fabric Pliers:2 ply & 3 ply Size:Universal size Fluid resistant : yes Elastic ear loop:yes Hygienic & skin friendly:yes Colors: blue white Nose strip:plastic,13-03-18 0:00,0,
iSWEVEN PM 2.5 Anti Pollution Mask Face Mask Foldable Non Woven Pack of 1 Grey,B07ZC2JXGM,iSWEVEN,,,,Brought to you by iSweven the worldâ€™s leading brand for personal protective equipment with over 100 years of experience in respiratory protection. The PM 2.5 masks from iSweven are specially designed to protect the user from probable respiratory ailments and allergies originating from the polluted air in the cities and common allergens like pollen in the environment. These masks have a 3 layer filter media which ensures the best protection. The masks come with a valve for moisture release which reduces stuffiness and heat build up to ensure wearer comfort for longer hours. These ergonomically designed masks with special comfort features like skin-friendly lining soft cotton ear bands premium nose pad for better seal and comfort and soft adjustable nose clips make them one of the best masks to wear for extended hours even in hot and humid conditions.,19-10-19 0:00,0,
VINAYAKAMART Disposable Surgical Face Mask 2 Ply 20 Pcs,B085KYF3BJ,VINAYAKAMART,1100,750,32%,Facemasks help limit the spread of germs 3PLY surgical face mask is a premium protective face mask used all over the world in various applications Face masks help limit the spread of germs. When someone talks coughs or sneezes they may release tiny drops into the air that can infect others.f someone is ill face masks can reduce the number of germs that the wearer releases and can protect other people from becoming sick. A face mask also protects the wearer's nose and mouth from splashes or sprays of body fluids. Made of Non-Woven Fabric It is ideal for every house in day to day activities as well as doctors surgeons dentist dental assistance nurses landscapers contractors plumbers exterminators nail technicians and many more.,05-03-20 0:00,0,VINAYAKAMART
UNIFORM CRAFT Women's Polyester and Cotton Scrub Suit Ocean Blue,B01MR3AJA1,UNIFORM CRAFT,800,750,6%,Uniform Craft Uniforms & Work wear is 65% Polyester 35% Cotton. Medical Tunic Scrub Suits and Healthcare Tunic for both men & women it provides complete solution for hospitals clinics professionals and at other work places. Uniform Craft presents this scrub suit made of cotton twill and polyester comes in blue colour. This product features regular fit and half sleeve.,19-02-17 0:00,47,UNIFORM CRAFT
MCP Pollution N95 mask NIOSH certified Mask and Respirator 10 PC,B084JD6VYQ,MCP,,,,N95 Disposable Particulate Respirator is suggested for workplace applications such as grinding sanding sweeping bagging and other dusty operations. Recommednded for sanding Grinding Sawing Sweeping and insulating work areas Use for solids such as those from processing minerals coal iron ore flour and other particulate substances. Use for solid and non-oil based particles. The mask may also be used with Liquid or non-oil based particles from sprays that do not also emit harmful vapors.,05-02-20 0:00,4,
Party-Hut V-410-V Reusable Anti Air Pollution Face Mask 2 Bag Filters Pack of 1,B084VM1JTC,Party-Hut,2000,599,70%,The V-410-v N 95 Mask Specialty Series has been designed to provide protection in specific working environments. These respirators are light in weight and thus comfortable to wear over long duration. A unique feature is the built in carbon layer which acts as a filter against nuisance gases such as OV AC etc.,17-02-20 0:00,2,Trendy traders
VENUS Particulate Respirator NIOSH Approved N95 Respirators Mask Set Pack of 2,B084HDGR76,lovelyhome,,,,1. Failure to follow all instructions and limitations on the use of this respirator and / or failure to wear this respirator during all times of exposure can reduce respirat or effectiveness and result in sickness or death. 2. Before use wearer must first be trained by the employer for proper respirator use in accordance with applicable Safety and Health Standards. Respiratory protection appliances are to be selected depending on the type and concentration of the hazardous substances. 3. The respirator may only be used if the type and concentration of the harmful substances are known. In case of unknown substances or concentrations or variable conditions breathing apparatus should be used. 4. Non-ventilated containers mines canals should not be entered with the particle filtering half masks & also not allowed in explosive atmosphere. 5. If the respirator becomes damaged or breathing becomes difficult leave the contaminated area discard and replace the respirator. Also leave the contaminated area immediately if dizziness or other distress occurs. 6. Never alter or modify this respirator . 1. Do not use for protection against Gases Vapor or in atmospheres containing less than 17% Oxygen. 2. Do not use with beard or other facial hair that prevent direct contact between the face and the edge of the respirator. c3. Do not use when concentrations of contaminants are immediately dangerous to life and health are unknown or when particulate concentration exceed the maximum use level / or other levels determined by your National Occupational Safety and Health Authorities.,05-02-20 0:00,2,
Shiddharth Fab Standard comfort Disposable Pollution/Surgical Elastic Mask Surgical Face Mask with Earloop Great for Air Pollution Virus. 5,B085DFRLBB,Siddharth fab,9999,999,90%,IND mask covers the userâ€™s nose and mouth and provides a physical barrier to fluids and particulate materials. The surgical masks referenced in this guidance document include masks that are labeled as a surgical laser isolation dental or medical procedure masks with or without a face shield.,02-03-20 0:00,0,Siddharth Fab
3M 9000ING Anti Pollution Mask- Pack of 2,B079M71FXM,3M,,,,3M 9000ING Anti Pollution Mask Pack of 2,03-05-18 0:00,0,
N95 Mask new Arrival respirator AF Approval 10,B085M7XKNL,ultrasav,20000,4200,79%,IND mask covers the userâ€™s nose and mouth and provides a physical barrier to fluids and particulate materials. The surgical masks referenced in this guidance document include masks that are labeled as a surgical laser isolation dental or medical procedure masks with or without a face shield.,02-03-20 0:00,0,ultrasav
